date,team_tag,player_name,metric,period,value
2026-07-26,CR,ふえた,stream_duration,may_early_2026,0.0
2026-07-26,CR,ふえた,stream_duration,may_late_2026,1.3
2026-07-26,CR,ふえた,stream_duration,regular_season,10.2
2026-07-26,CR,ふえた,video_upload_count,apr_late_2026,0
2026-07-26,CR,ふえた,video_upload_count,jul_early_2026,0
2026-07-26,CR,ふえた,video_upload_count,jul_late_2026,2
2026-07-26,CR,ふえた,video_upload_count,jun_early_2026,0
2026-07-26,CR,ふえた,video_upload_count,jun_late_2026,0
2026-07-26,CR,ふえた,video_upload_count,may_early_2026,0
2026-07-26,CR,ふえた,video_upload_count,may_late_2026,0
2026-07-26,CR,ふえた,video_upload_count,regular_season,2
2026-07-26,CR,ふえた,video_view_count,jul_early_2026,0
2026-07-26,CR,ふえた,video_view_count,jul_late_2026,0
2026-07-26,CR,ふえた,video_view_count,jun_early_2026,0
2026-07-26,CR,ふえた,video_view_count,jun_late_2026,0
2026-07-26,CR,ふえた,video_view_count,may_early_2026,0
2026-07-26,CR,ふえた,video_view_count,may_late_2026,0
2026-07-26,CR,ふえた,video_view_count,regular_season,0
2026-07-26,CR,ふえた,watch_time,jul_early_2026,0
2026-07-26,CR,ふえた,watch_time,jul_late_2026,518
2026-07-26,CR,ふえた,watch_time,jun_early_2026,1221
2026-07-26,CR,ふえた,watch_time,jun_late_2026,742
2026-07-26,CR,ふえた,watch_time,may_early_2026,0
2026-07-26,CR,ふえた,watch_time,may_late_2026,15
2026-07-26,CR,ふえた,watch_time,regular_season,518
2026-07-26,CR,ふえた,youtube_subscribers,current,1130
2026-07-26,CR,空白,followers,current,3857
2026-07-26,CR,空白,stream_duration,apr_late_2026,23.8
2026-07-26,CR,空白,stream_duration,jul_early_2026,0.0
2026-07-26,CR,空白,stream_duration,jul_late_2026,18.6
2026-07-26,CR,空白,stream_duration,jun_early_2026,26.8
2026-07-26,CR,空白,stream_duration,jun_late_2026,20.3
2026-07-26,CR,空白,stream_duration,may_early_2026,24.5
2026-07-26,CR,空白,stream_duration,may_late_2026,33.6
2026-07-26,CR,空白,stream_duration,regular_season,18.6
2026-07-26,CR,空白,video_upload_count,apr_late_2026,0
2026-07-26,CR,空白,video_upload_count,jul_early_2026,0
2026-07-26,CR,空白,video_upload_count,jul_late_2026,0
2026-07-26,CR,空白,video_upload_count,jun_early_2026,0
2026-07-26,CR,空白,video_upload_count,jun_late_2026,0
2026-07-26,CR,空白,video_upload_count,may_early_2026,0
2026-07-26,CR,空白,video_upload_count,may_late_2026,0
2026-07-26,CR,空白,video_upload_count,regular_season,0
2026-07-26,CR,空白,video_view_count,jul_early_2026,0
2026-07-26,CR,空白,video_view_count,jul_late_2026,0
2026-07-26,CR,空白,video_view_count,jun_early_2026,0
2026-07-26,CR,空白,video_view_count,jun_late_2026,0
2026-07-26,CR,空白,video_view_count,may_early_2026,0
2026-07-26,CR,空白,video_view_count,may_late_2026,0
2026-07-26,CR,空白,video_view_count,regular_season,0
2026-07-26,CR,空白,watch_time,jul_early_2026,0
2026-07-26,CR,空白,watch_time,jul_late_2026,690
2026-07-26,CR,空白,watch_time,jun_early_2026,1152
2026-07-26,CR,空白,watch_time,jun_late_2026,2339
2026-07-26,CR,空白,watch_time,may_early_2026,2243
2026-07-26,CR,空白,watch_time,may_late_2026,1811
2026-07-26,CR,空白,watch_time,regular_season,690
2026-07-26,CR,空白,youtube_subscribers,current,1630
2026-07-26,DFM,MingiGod,followers,current,3473
2026-07-26,DFM,MingiGod,stream_duration,jul_early_2026,8.9
2026-07-26,DFM,MingiGod,stream_duration,jul_late_2026,9.9
2026-07-26,DFM,MingiGod,stream_duration,jun_late_2026,16.6
2026-07-26,DFM,MingiGod,stream_duration,regular_season,18.8
2026-07-26,DFM,MingiGod,video_upload_count,jul_early_2026,0
2026-07-26,DFM,MingiGod,video_upload_count,jul_late_2026,0
2026-07-26,DFM,MingiGod,video_upload_count,jun_late_2026,1
2026-07-26,DFM,MingiGod,video_upload_count,regular_season,0
2026-07-26,DFM,MingiGod,video_view_count,jul_early_2026,0
2026-07-26,DFM,MingiGod,video_view_count,jul_late_2026,0
2026-07-26,DFM,MingiGod,video_view_count,regular_season,0
2026-07-26,DFM,MingiGod,watch_time,jul_early_2026,996
2026-07-26,DFM,MingiGod,watch_time,jul_late_2026,555
2026-07-26,DFM,MingiGod,watch_time,regular_season,1555
2026-07-26,DFM,MingiGod,youtube_subscribers,current,1670
2026-07-26,DFM,かなで,followers,current,2138
2026-07-26,DFM,かなで,stream_duration,apr_late_2026,9.2
2026-07-26,DFM,かなで,stream_duration,jul_early_2026,2.1
2026-07-26,DFM,かなで,stream_duration,jul_late_2026,3.7
2026-07-26,DFM,かなで,stream_duration,jun_early_2026,4.8
2026-07-26,DFM,かなで,stream_duration,jun_late_2026,9.7
2026-07-26,DFM,かなで,stream_duration,may_early_2026,4.5
2026-07-26,DFM,かなで,stream_duration,may_late_2026,9.4
2026-07-26,DFM,かなで,stream_duration,regular_season,3.7
2026-07-26,DFM,かなで,video_upload_count,apr_late_2026,0
2026-07-26,DFM,かなで,video_upload_count,jul_early_2026,0
2026-07-26,DFM,かなで,video_upload_count,jul_late_2026,0
2026-07-26,DFM,かなで,video_upload_count,jun_early_2026,0
2026-07-26,DFM,かなで,video_upload_count,jun_late_2026,0
2026-07-26,DFM,かなで,video_upload_count,may_early_2026,0
2026-07-26,DFM,かなで,video_upload_count,may_late_2026,0
2026-07-26,DFM,かなで,video_upload_count,regular_season,0
2026-07-26,DFM,かなで,video_view_count,jul_early_2026,0
2026-07-26,DFM,かなで,video_view_count,jul_late_2026,0
2026-07-26,DFM,かなで,video_view_count,jun_early_2026,0
2026-07-26,DFM,かなで,video_view_count,jun_late_2026,0
2026-07-26,DFM,かなで,video_view_count,may_early_2026,0
2026-07-26,DFM,かなで,video_view_count,may_late_2026,0
2026-07-26,DFM,かなで,video_view_count,regular_season,0
2026-07-26,DFM,かなで,watch_time,jul_early_2026,52
2026-07-26,DFM,かなで,watch_time,jul_late_2026,88
2026-07-26,DFM,かなで,watch_time,jun_early_2026,73
2026-07-26,DFM,かなで,watch_time,jun_late_2026,301
2026-07-26,DFM,かなで,watch_time,may_early_2026,157
2026-07-26,DFM,かなで,watch_time,may_late_2026,258
2026-07-26,DFM,かなで,watch_time,regular_season,88
2026-07-26,DFM,かなで,youtube_subscribers,current,542
2026-07-26,DFM,ミル,followers,current,14538
2026-07-26,DFM,ミル,stream_duration,apr_late_2026,33.8
2026-07-26,DFM,ミル,stream_duration,jul_early_2026,6.9
2026-07-26,DFM,ミル,stream_duration,jul_late_2026,9.3
2026-07-26,DFM,ミル,stream_duration,jun_early_2026,15.0
2026-07-26,DFM,ミル,stream_duration,jun_late_2026,14.1
2026-07-26,DFM,ミル,stream_duration,may_early_2026,14.1
2026-07-26,DFM,ミル,stream_duration,may_late_2026,23.3
2026-07-26,DFM,ミル,stream_duration,regular_season,16.2
2026-07-26,DFM,ミル,video_upload_count,apr_late_2026,0
2026-07-26,DFM,ミル,video_upload_count,jul_early_2026,0
2026-07-26,DFM,ミル,video_upload_count,jul_late_2026,0
2026-07-26,DFM,ミル,video_upload_count,jun_early_2026,0
